1,BZXV
1,DICU
1,GPZN
1,IFJT
1,KFNY
1,NTGZ
1,RUFQ
2,AVQB
2,FCXF
2,GEAV
2,IKOX
2,RRGL
2,WSAV
2,ZBAG
3,FKTU
3,IKEJ
3,JDRY
3,SONI
3,UESA
4,IUEU
4,JJLZ
4,LKVJ
4,VZOL
4,XGPU
5,BWDL
5,FCUN
5,HWCT
5,KVOS
5,NBRF
5,NZWY
5,PFRL
5,PKWA
5,QDPY
5,SIRK
5,VGEK
6,DFPE
6,IGFV
6,RBQX
6,VHOP
7,BBFD
7,DZGL
7,RVTB
7,XHJZ
8,IBQO
8,IORI
8,UPXG
9,HWKB
9,JTIL
9,LIZP
9,NUBG
9,OHIC
9,RABX
9,TGSM
11,DVEV
11,FVAY
11,IFQO
11,IRSB
12,HLAA
12,JCNX
12,ONXM
12,YEDB
13,BLWM
13,DCEH
13,EIKI
14,CNQH
14,DYYL
14,FVTI
14,IMMX
14,QTRV
14,XIAJ
15,JMVE
16,IGUS
16,JZBY
16,KQIC
16,QNLQ
16,QRNU
16,TRPX
16,VLZM
16,WOKI
16,XXYC
17,IQHY
17,RURE
17,SZFC
17,VPYO
17,YVYX
18,GIGO
18,YJDA
18,YJSU
19,IDXV
19,QJTW
19,TZBD
19,WUIK
19,YOYS
20,BAYG
20,CHGG
20,EGTU
20,ICHC
20,RROX
20,VKDW
20,WQJP
